complaint_text,base_severity,category,compllaint_text
"No water supply in Sector 7, Dwarka for the past 24 hours. All taps are completely dry.",3,Water_Sanitation,
"Extremely low water pressure in our area, BTM Layout, can't even fill a bucket properly in hours during peak time.",2,Water_Sanitation,
Tap water is coming out muddy and smelling foul in Dwarka Phase 1. Worried about health issues for children.,4,Water_Sanitation,
"Open drain overflowing onto the main road near the local vegetable market in Laxmi Nagar. Stench is unbearable, making it impossible to pass.",4,Water_Sanitation,
"Massive water pipeline burst near the Gandhi statue, thousands of litres of clean water being wasted. Needs urgent repair.",5,Water_Sanitation,
Sewage backing up into our ground floor apartment toilets in Malviya Nagar every other day. Disgusting and unhygienic.,5,Water_Sanitation,
"Public tap near the bus stand in Karol Bagh is constantly leaking, forming a huge puddle and wasting precious water resources.",2,Water_Sanitation,
"Water supplied to our colony, Saket, has a yellowish tint and tastes metallic. Not safe for drinking, causing health concerns.",4,Water_Sanitation,
"During monsoon, our street transforms into a river due to completely blocked drains near the community hall. Impossible to walk.",3,Water_Sanitation,
The community borewell water is very hard and leaves white stains everywhere. No proper filtration or softening is being done.,2,Water_Sanitation,
Lack of proper sanitation facilities in the slum area behind the railway station. High risk of disease outbreak.,4,Water_Sanitation,
"The handpump in Gali No. 5, Chandni Chowk, has been broken for weeks, residents have no other nearby water source.",3,Water_Sanitation,
"Overflowing garbage bins near the public water dispenser in the park. Very unhygienic conditions, attracting pests.",2,Water_Sanitation,
"Intermittent water supply, sometimes for 30 minutes, sometimes for 2 hours, completely unpredictable timings. Disrupts daily chores.",3,Water_Sanitation,
"The main drainage pipe in our lane, near the gurudwara, is choked. Wastewater is stagnating on the road surface.",3,Water_Sanitation,
Children in our street are complaining of stomach upsets after drinking tap water. It looks cloudy and smells odd.,4,Water_Sanitation,
The overhead water tank for the entire block is overflowing for hours daily. Sheer wastage of a valuable resource.,3,Water_Sanitation,
No cleaning of public toilets near the market for over a week. Absolutely disgusting and unusable for citizens.,3,Water_Sanitation,
"Constant dripping from the water meter connection outside our house in Sector 18, Noida. Looks like a slow but steady leak.",1,Water_Sanitation,
The municipal water supply to our apartment building in Chembur has completely stopped since yesterday night.,3,Water_Sanitation,
"Waterlogging near the Sector 10 market every time it rains, traffic gets jammed and pedestrians suffer greatly.",3,Water_Sanitation,
"Foul odour coming from the roadside drain in front of the police station. It's been like this for days, causing discomfort.",2,Water_Sanitation,
"The water purification plant for our colony is out of order, forcing us to rely on expensive bottled water for drinking.",4,Water_Sanitation,
"Visible cracks in the main water supply pipe running along MG Road. Water seeping constantly, indicating a major issue.",3,Water_Sanitation,
Residents of Lajpat Nagar are facing acute water shortage during peak summer hours. Taps run dry for extended periods.,4,Water_Sanitation,
Our street gets flooded with raw sewage water from the manhole every time there's a heavy flush of water in the area. This is a critical health risk.,5,Water_Sanitation,
"The communal overhead tank has never been cleaned, the water quality is visibly poor with sediments at the bottom.",3,Water_Sanitation,
"No dustbins near the public taps in our area, people throw garbage directly into the open drains, blocking them.",2,Water_Sanitation,
"Water supply for only 1 hour in the morning, completely inadequate for a family of 6 in this scorching heat.",3,Water_Sanitation,
Kids developing skin rashes; we are suspecting poor water quality from the community water source provided by the municipality.,4,Water_Sanitation,
The municipal water supply has been completely shut off in our locality (Sanjay Nagar) for the last 36 hours. This is an emergency and unacceptable.,4,Water_Sanitation,
"Brownish, murky water is coming from taps in our entire apartment complex near the Delhi University North Campus. Unfit for consumption.",4,Water_Sanitation,
"The main sewage line near the Sector 5 traffic signal has burst, raw sewage flowing onto the road. Immediate action needed to prevent disease.",5,Water_Sanitation,
"Public taps in the local park are constantly dripping, causing a muddy mess and wasting water continuously. Needs immediate attention.",2,Water_Sanitation,
"Water pressure is so low in our building that water barely reaches the first floor, forget the top floors. Highly inconvenient.",2,Water_Sanitation,
"The drainage system near the Krishna Temple is completely choked with plastic waste, leading to recurrent waterlogging during rains.",3,Water_Sanitation,
Children in our street are getting stomach infections; we suspect it's due to the irregular and dirty water supply from the municipality.,4,Water_Sanitation,
,3,Water_Sanitation,The water tanker service promised by the municipal corporation is highly irregular in our slum area. Residents are suffering.
"A huge puddle of stagnant, foul-smelling water has accumulated near the community well. Breeding ground for mosquitoes and diseases.",3,Water_Sanitation,
"The public toilet complex opposite the railway station is in a dilapidated state, no cleaning or maintenance for months. Unusable.",3,Water_Sanitation,
"Our colony, Geetanjali Enclave, receives water only for one hour in the morning, which is insufficient for daily needs of all households.",3,Water_Sanitation,
"Visible sewage overflowing from the manhole cover on Gali No. 7, creating a terrible stench and hygiene risk for residents.",4,Water_Sanitation,
"During heavy rains, our entire basement floods because of the inadequate storm drain capacity. Causes property damage.",4,Water_Sanitation,
"The tap water has a strong chlorine smell, making it unpleasant to drink or cook with. Needs proper aeration.",2,Water_Sanitation,
Continuous leakage from the underground pipe near the community hall has created a permanent muddy patch on the road.,2,Water_Sanitation,
"The street drains in our area are overflowing with garbage and sludge, making it impossible for water to pass. This is a mess.",3,Water_Sanitation,
Residents near the school are reporting skin irritations; they are suspecting contaminated borewell water used for washing.,4,Water_Sanitation,
"No water supply after 9 PM daily, which is a significant problem for people working late shifts and returning home.",2,Water_Sanitation,
"The main water supply pipe for our block (Block C, Saket) has developed a significant crack, constantly dripping and wasting water.",3,Water_Sanitation,
"Public urinals near the marketplace are extremely unhygienic, no proper water supply for flushing. Pungent smell.",2,Water_Sanitation,
"Water comes with sand particles in it, especially after the supply resumes. This indicates a sedimentation issue in the pipes.",3,Water_Sanitation,
The water quality has deteriorated significantly after the monsoon rains; it's yellowish and smells earthy. Not good.,3,Water_Sanitation,
"Sewage entering the stormwater drains near the park, posing a major environmental and health hazard to the ecosystem.",4,Water_Sanitation,
"The public handpump in our village has been defunct for over two months, no repair work initiated by authorities.",3,Water_Sanitation,
"Overhead tank in the public garden is overflowing almost all day, leading to immense water wastage. Needs a float valve.",3,Water_Sanitation,
"Our street, near the old fort, has never had a proper drainage system, leading to constant waterlogging issues every rain.",4,Water_Sanitation,
Children playing near the open sewer line are at high risk of diseases. It needs to be covered and properly maintained.,4,Water_Sanitation,
"The taste of the municipal water is very peculiar, almost brackish, unlike before. Raises questions about its source.",2,Water_Sanitation,
"A huge burst in the main water supply pipeline near the flyover, water gushing out like a fountain. Urgent intervention needed.",5,Water_Sanitation,
The water supplied to our building is only for 45 minutes in the morning and 30 minutes in the evening. Inadequate for families.,3,Water_Sanitation,
"All the drains in our market complex are completely blocked, causing a terrible smell and making customers uncomfortable.",3,Water_Sanitation,
"Water in our locality (Vivek Vihar) is often discoloured, sometimes brown, sometimes slightly green. Very concerning for health.",4,Water_Sanitation,
"The community borewell pump is broken, and locals are struggling to fetch water from long distances. This is a severe problem.",3,Water_Sanitation,
"Continuous sewage overflow from the manhole near the Gurudwara, creating unhygienic conditions for devotees and passersby.",4,Water_Sanitation,
"The water meter outside our house is constantly leaking, wasting gallons of water every day. Needs fixing urgently.",2,Water_Sanitation,
"During power cuts, the water supply stops entirely, affecting daily chores severely. No backup system in place.",3,Water_Sanitation,
The public standpost near the temple has been vandalized and is continuously gushing water onto the street.,3,Water_Sanitation,
"Street cleaning staff (safai karamcharis) are not clearing the drains properly, leading to accumulated debris and blockages.",2,Water_Sanitation,
"We are receiving muddy water after any rainfall, indicating issues with the filtration system or compromised pipelines.",3,Water_Sanitation,
Raw sewage is flowing freely in the open ditch beside the main road in Kirti Nagar. Horrible smell and a health hazard.,4,Water_Sanitation,
"The water purifier in the community centre is non-functional, leaving residents without safe drinking water access.",3,Water_Sanitation,
"Water supply is highly erratic in our area; it comes at odd hours when most people are at work, making storage difficult.",2,Water_Sanitation,
"The main water pipeline burst near the school, disrupting water supply and causing significant water loss for the entire area.",4,Water_Sanitation,
"Drainage cover outside my house is broken, posing a risk of accidents, especially for children and pedestrians.",3,Water_Sanitation,
"The water has a very strong metallic taste, raising concerns about pipe corrosion or heavy metal contamination.",3,Water_Sanitation,
"No water supply at all for the past two days in our housing society, affecting hundreds of families. This is unbearable.",4,Water_Sanitation,
"Foul-smelling, blackish water is coming out of the taps intermittently in our bathrooms. Unhealthy and worrisome.",4,Water_Sanitation,
"The public toilet near the bus stop is extremely dirty and has no running water, making it unusable and a public nuisance.",3,Water_Sanitation,
"Waterlogging near the underpass every monsoon, causing major traffic jams and pedestrian inconvenience for hours.",3,Water_Sanitation,
Sewage overflow from the open drain near the municipal park is attracting flies and mosquitoes. A serious health hazard.,3,Water_Sanitation,
Residents are falling ill with gastroenteritis; the tap water looks suspiciously cloudy and has a strange odour. Urgent investigation needed.,5,Water_Sanitation,
The water supply pressure is so low that washing machines take hours to fill. Highly inconvenient and time-consuming.,2,Water_Sanitation,
"The community well is contaminated with plastic waste and garbage, making its water unsafe for any use, even washing.",3,Water_Sanitation,
"A major leakage in the main pipeline running along the main market road, affecting several shops and residences.",3,Water_Sanitation,
"No water supply on weekends, which is when we need it most for cleaning and washing clothes. Inconvenient planning.",3,Water_Sanitation,
"The drainage system around the government hospital is poorly maintained, leading to stagnant water and mosquito breeding.",3,Water_Sanitation,
"Our drinking water supply frequently has small, dark particles floating in it. Unacceptable for consumption.",4,Water_Sanitation,
"The public water cooler is broken and leaking constantly, leading to water wastage and slippery grounds. A safety concern.",2,Water_Sanitation,
"Sewage pipe in our lane has a major crack, continuously leaking into the street. Unhygienic conditions are rampant.",4,Water_Sanitation,
"Intermittent water supply, sometimes only for 15 minutes, not enough to even brush teeth properly. Very frustrating.",2,Water_Sanitation,
"The storm drains are completely clogged with construction debris, causing severe waterlogging during even moderate rains.",4,Water_Sanitation,
"The water supplied through the taps is sometimes brown, sometimes clear, indicating inconsistent quality and filtration.",3,Water_Sanitation,
"The public borewell in our rural area has dried up, and there's no alternative water source for the villagers.",4,Water_Sanitation,
Continuous overflowing of the common sump tank in our residential complex due to a faulty float valve. Wastage of water.,2,Water_Sanitation,
"The smell from the open drain behind our houses in Laxmi Nagar is unbearable, especially in the evenings. It affects quality of life.",3,Water_Sanitation,
Children from our area are frequently suffering from water-borne diseases; the tap water is highly suspect and needs testing.,5,Water_Sanitation,
Water supply pressure drops drastically during peak morning hours. Makes it impossible to complete chores efficiently.,2,Water_Sanitation,
"The main water supply pipe in our by-lane has burst, causing a muddy mess and no water for our homes. Immediate fix needed.",4,Water_Sanitation,
"Public toilet at the park is always locked, denying access to visitors and forcing open defecation nearby. Unacceptable.",2,Water_Sanitation,
"Waterlogging near the main roundabout every time it drizzles, causing inconvenience to commuters and traffic jams.",3,Water_Sanitation,
"No water connection to newly built houses in our extended colony area, despite applications and follow-ups. Unfair.",3,Water_Sanitation,
"The tap water leaves a visible residue on dishes and clothes after washing, indicating hardness or impurities. Damages appliances.",3,Water_Sanitation,
Sewage overflowing from the main manhole directly into the river near our village. This is an ecological disaster and needs urgent attention.,5,Water_Sanitation,
A major underground water pipe burst has created a sinkhole in the road near the temple. Danger to public safety!,5,Water_Sanitation,
